name,category,ingredients
Flower Power,Tequila,"Blanco tequila, Grapefruit Juice, Agave nectar, Egg White, Orange blossom water, Peychaud's Bitters"
Flying Dutchman,Cocktail Classics,"Gin, Triple Sec"
Flying Grasshopper Cocktail,Cocktail Classics,"Old Mr. Boston Green Creme de Menthe, Old Mr. Boston White Creme de Cacao, Old Mr. Boston Vodka"
Flying Scotchman,Whiskies,"Blended Scotch Whiskey, Sweet Vermouth, Angostura Bitters, Simple Syrup"
Flying Scotchman Cocktail,Cocktail Classics,"Sweet Vermouth, Desmond & Duff Scotch Whisky, Bitters, Sugar Syrup"
Fog Cutter,Rum - Daiquiris,"Light Rum, Brandy, Gin, Fresh lemon juice, each Orange juice and sweet sherry, Almond or orgeat syrup"
Fog Horn,Cocktail Classics,"Juice of a Lime, Gin & ginger ale, Gin, Triple Sec"
Fontainebleau Special,Brandy,"Brandy, Anisette, Dry Vermouth"
Fort Lauderdale,Cocktail Classics,"Light Rum, Sweet Vermouth, Juice of Orange, Juice of a Lime"
Fox River Cocktail,Whiskies,"Bourbon or Rye Whiskey, Dark creme de cacao, Angostura Bitters"
Francis The Mule,Whiskies,"Bourbon whiskey, Coffee liqueur, Fresh lemon juice, orgeat or almond syrup, Orange Bitters"
Frankenjack Cocktail,Cocktail Classics,"Gin, Dry Vermouth, Apricot Flavored Brandy, Triple Sec, Juice of a Lime, Gin & ginger ale"
Fratelli Cocktail,Whiskies,"Straight rye whiskey, Sweet Vermouth, Yellow Chartreuse, Fernet-Branca"
Free Silver,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Gin, Dark rum, Milk"
French Martini,Vodka,"Vodka, Black raspberry liqueur, Pineapple Juice"
French Quarter,Brandy,"Brandy, Lillet Blanc"
Frisco Sour,Whiskies,"Bourbon or Rye Whiskey, Fresh lemon juice, Fresh Lime Juice, Benedictine, Lemon and lime wheels"
Frisky Witch,Vodka,"Vodka, Sambuca"
Frostbite,Tequila,"Blanco tequila, White creme de cacao, Heavy cream"
Froth Blower Cocktail,Cocktail Classics,"Egg White, Gin, Grenadine"
Froupe Cocktail,Brandy,"Brandy, Sweet Vermouth, Benedictine"
Frozen Apple,Cocktail Classics,"Applejack, Lime Juice, Sugar, Egg White"
Frozen Brandy and Rum,Cocktail Classics,"Brandy, Light Rum, Lemon Juice, Egg Yolk, Powdered Sugar"
Gables Collins,Vodka,"Vodka, Creme de noyaux, Fresh lemon juice, Pineapple Juice"
Gaugin,Rum - Daiquiris,"Light Rum, Fresh lemon juice, Fresh Lime Juice, Passion Fruit Syrup"
Gauguin,Cocktail Classics,"Light Rum, Passion Fruit Syrup, Lemon Juice, Lime Juice"
General Harrison's Eggnog,Cocktail Classics,"Whole Egg, Powdered Sugar"
Gentle Ben,Vodka,"Vodka, Gin, Blanco tequila"
Gentleman's Cocktail,Cocktail Classics,"Bourbon, Brandy, Creme de Menthe"
Georgia Mint Julep,Brandy,"Mint sprigs, Simple Syrup, Brandy, Peach-flavored brandy"
Georgia Mule,Vodka,"Peach slice, skinned, Vodka, Fresh lemon juice, Peach bitters"
Georgia Peach,Vodka,"Vodka, Peach schnapps, Grenadine"
Gilchrist,Whiskies,"Blended Scotch Whiskey, Pear brandy, Grapefruit Juice, Amaro, Grapefruit bitters"
Gilroy Cocktail,Brandy,"cherry-flavored brandy, Gin, Dry Vermouth, Fresh lemon juice, Orange Bitters"
Gimlet,Cocktail Classics,"Lime Juice, Powdered Sugar, Gin"
Gimlet Cocktail,Cocktail Classics,"Rose's Lime Juice, Powdered Sugar, Old Mr. Boston Dry Gin"
Gin and It,Cocktail Classics,"Gin, Sweet Vermouth"
Gin and Milk Punch,Cocktail Classics,"Powdered Sugar, Mr. Boston Gin, Milk"
Gin Cocktail,Cocktail Classics,"Gin, Bitters"
Gin Milk Punch,Cocktail Classics,"Powdered Sugar, Gin, Milk"
Gin Sling,Cocktail Classics,"Powdered Sugar, Water, Juice of a Lemon, Gin"
Ginger Grapefruit Rickey,Rum - Daiquiris,"Light Rum, Fresh grapefruit juice, Ginger liqueur, Fresh Lime Juice"
Glass Tower,Vodka,"Vodka, Peach schnapps, White rum, Triple Sec, Sambuca"
Glogg,Cocktail Classics,"Wine (Port, Cream Sherry, Claret, Burgundy, or Madeira), Dried Orange Peel, Cinnamon sticks, cloves"
Gloom Lifter,Cocktail Classics,"Blended whiskey, Brandy, Juice of a Lemon, Raspberry Syrup, Sugar, Egg White"
Goat's Delight,Brandy,"Brandy, Kirschwasser, half-and-half, orgeat or almond syrup, Absinthe or pastis"
God Child,Cocktail Classics,"Amaretto di Saronno, Mr. Boston Vodka, Heavy cream"
Godchild,Vodka,"Vodka, Amaretto, Heavy cream"
Godfather,Whiskies,"Blended Scotch Whiskey, Amaretto"
Godmother,Vodka,"Vodka, Amaretto"
Golden Dawn,Brandy,"Apple Brandy, Apricot-Flavored Brandy, Gin, Fresh orange juice, Grenadine"
Golden Eclipse,Rum - Daiquiris,"Dark rum, Amaro, Fresh lemon juice, Orange Bitters, Sparkling apple cider"
Golden Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Gin, Egg Yolk"
Golden Frappe,Cocktail Classics,"Orange Juice, Lemon Juice, Sugar, Port"
Golden Friendship,Rum - Daiquiris,"Light Rum, Sweet Vermouth, Amaretto"
Golden Slipper,Cocktail Classics,"Yellow Chartreuse, Apricot-Flavored Brandy"
Golden Slipper Cocktail,Cocktail Classics,"Yellow Chartreuse, Old Mr. Boston Apricot Flavored Brandy"
Goldrush,Whiskies,"Bourbon whiskey, Fresh lemon juice, Honey Syrup"
Gotham,Brandy,"Absinthe or pastis, Brandy, Peach bitters"
Grande Guignol,Rum - Daiquiris,"Dark rum, Yellow Chartreuse, Cherry Heering, Fresh Lime Juice"
Grandfather,Whiskies,"Bourbon whiskey, Applejack, Sweet Vermouth, Angostura Bitters, Peychaud's Bitters"
Grape Nehi,Vodka,"Vodka, Raspberry-flavored liqueur, Fresh lemon juice"
Grape Vodka Froth,Cocktail Classics,"Vodka, Grape Juice, Egg White, Lemon Juice"
Grapefruit Cocktail,Cocktail Classics,"Grapefruit Juice, Gin, Maraschino"
Grapefruit Gimlet Royale,Vodka,"Vodka, Fresh grapefruit juice, Fresh Lime Juice, Simple Syrup, Chilled Champagne"
Grapefruit Nog,Cocktail Classics,"Brandy, Grapefruit Juice, Lemon Juice, Honey, Whole Egg"
Grasshopper Cocktail,Cocktail Classics,"Old Mr. Boston Green Creme de Menthe, Old Mr. Boston White Creme de Cacao, Light Sweet Cream"
Green Devil,Cocktail Classics,"Gin, Green creme de menthe, Lime Juice"
Green Dragon Cocktail,Cocktail Classics,"Juice of a Lemon, Old Mr. Boston Kummel, Old Mr. Boston Green Creme de Menthe, Old Mr. Boston Dry Gin, Orange Bitters"
Green Fizz,Cocktail Classics,"Powdered Sugar, Egg White, Juice of a Lemon, Gin, Green creme de menthe"
Green Hornet (Dry),Cocktail Classics,"Lime Vodka, Powdered Sugar"
Green Opal,Cocktail Classics,"Gin, Anisette, Anis"
Green Opal Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Old Mr. Boston Anisette, Absinthe Substitute"
Greenback,Cocktail Classics,"Gin, Green creme de menthe, Lemon Juice"
Greenpoint,Whiskies,"Straight rye whiskey, Yellow Chartreuse, Sweet Vermouth, Angostura Bitters, Orange Bitters"
Grenadine Rickey,Cocktail Classics,"Juice of a Lime, Grenadine"
Greyhound,Cocktail Classics,"Gin, Grapefruit Juice"
Grounds For Divorce,Whiskies,"Straight rye whiskey, Kirschwasser, Cynar, Amaro"
Guadalajara,Tequila,"Blanco tequila, Dry Vermouth, Benedictine"
H. P. W. Cocktail,Cocktail Classics,"Dry Vermouth, Sweet Vermouth, Gin"
H.P.W. Cocktail,Cocktail Classics,"Dry Vermouth, Sweet Vermouth, Gin"
Hai Karate,Rum - Daiquiris,"Dark rum, Fresh Lime Juice, Pineapple Juice, Orange juice, Maple Syrup, Angostura Bitters"
Hair Raiser,Cocktail Classics,"100-proof Vodka, Rock and Rye, Lemon Juice"
Hair Raiser Cocktail,Cocktail Classics,"Old Mr. Boston 100 proof Vodka, Old Mr. Boston Rock and Rye, Lemon Juice"
Hairy Sunrise,Tequila,"Blanco tequila, Vodka, Triple Sec, Orange juice, Fresh grenadine"
Handball Cooler,Vodka,"Vodka, Orange juice"
Harrington,Vodka,"Vodka, Triple Sec, Green Chartreuse"
Harvard Cocktail,Brandy,"Brandy, Sweet Vermouth, Fresh lemon juice, Grenadine, Angostura Bitters"
Harvard Cooler,Brandy,"Apple Brandy, Simple Syrup"
Harvest Moon,Whiskies,"Straight rye whiskey, Lillet Blanc, Apple Brandy, Green Chartreuse, Angostura Bitters"
Harvest Nectar,Rum - Daiquiris,"Light Rum, Pineapple Juice, Cranberry Juice, Orange juice, Lemon-lime soda"
Harvey Wallbanger,Vodka,"Vodka, Fresh orange juice, Galliano"
Havana Cocktail,Rum - Daiquiris,"Light Rum, Pineapple Juice, Fresh lemon juice"
Hawaiin Cocktail,Cocktail Classics,"Gin, Pineapple Juice, Triple Sec"
Headless Horseman,Vodka,"Vodka, Angostura Bitters"
Heather Blush,Whiskies,"Blended Scotch Whiskey, Strawberry liqueur, Chilled sparkling wine"
Heather's Kiss,Whiskies,"Blended Scotch Whiskey, Fresh lemon juice, Agave nectar, Absinthe"
Heavenly Dram,Whiskies,"Single-malt Scotch whisky, Pedro Ximenez sherry, Fresh lemon juice, Honey Syrup"
Hebrides,Whiskies,"Single-malt Scotch whisky, Maraschino liqueur, Triple Sec, Apple juice, Fresh lemon juice, Angostura Bitters"
Hemingway's Nog,Rum - Daiquiris,"Dark rum, Vanilla liqueur, Simple Syrup, Creme fraiche, tiki bitters, such as Bittermen's Elemakule"
Hennessy Martini,Cocktail Classics,"Hennessy V.S Cognac, Lemon Juice"
High Cotton,Whiskies,"Straight rye whiskey, Pimm's No. 1 Cup, Dubonnet Rouge, Peach bitters"
High Plains Drifter No. 1,Tequila,"Campari, Blanco tequila, Fresh Lime Juice, Honey Syrup, Angostura Bitters"
Highland Cooler,Whiskies,"Blended Scotch Whiskey, Simple Syrup"
Hill Billy Highball,Cocktail Classics,Georgia Moon Corn Whiskey
Hill Dog,Whiskies,"White whiskey, Grand Marnier, Dry Sherry, Lavender Syrup"
Hoffman House Cocktail,Cocktail Classics,"Dry Vermouth, Gin"
Hole-In-One,Whiskies,"Blended Scotch Whiskey, Dry Vermouth, Fresh lemon juice, Orange Bitters"
Hole-in-One Cocktai,Cocktail Classics,"Scotch, Vermouth, Lemon Juice, Orange Bitters"
Hole-in-One Cocktail,Cocktail Classics,"Desmond & Duff Scotch Whisky, Dry Vermouth, Lemon Juice, Orange Bitters"
Honeymoon Cocktail,Brandy,"Apple Brandy, Benedictine, Fresh lemon juice, Triple Sec"
Hoot Mon Cocktail,Whiskies,"Blended Scotch Whiskey, Sweet Vermouth, Benedictine"
Hop Toad,Rum - Daiquiris,"Light Rum, Apricot-Flavored Brandy, Fresh Lime Juice"
Hop Toad Cocktail,Cocktail Classics,"Juice of a Lime, Old Mr. Boston Apricot Flavored Brandy, Old Mr. Boston Rum"
Horse's Neck (With A Kick),Whiskies,"Wide spiral of lemon zest, Bourbon whiskey, Ginger ale"
Hot Brandy Flip,Cocktail Classics,"Whole Egg, Powdered Sugar, Brandy"
Hot Pants,Tequila,"Blanco tequila, Peppermint schnapps, Grapefruit Juice, Simple Syrup"
Hot Shot Margarita,Cocktail Classics,"Tequila, Hot Shot Tropical Fruit Liqueur, Lemon or Lime Juice"
Hotel D'alsace,Whiskies,"Fresh rosemary sprig, Irish Whiskey, Benedictine, Triple Sec"
Hotel Plaza Cocktail,Cocktail Classics,"Sweet Vermouth, Dry Vermouth, Gin"
Humpty Dumpty,Vodka,"Vodka, Orange juice, Galliano, Whole Egg, Peychaud's Bitters"
Huntsman Cocktail,Vodka,"Vodka, Jamaica Rum, Fresh Lime Juice, Simple Syrup"
Hurricane,Rum - Daiquiris,"each Dark rum, light rum, Passion Fruit Syrup, Lime Juice, Orange juice, each Simple Syrup, grenadine"
Hurricane Leah,Rum - Daiquiris,"each Light Rum, Gin, Vodka, Blanco tequila, Blue curacao, cherry-flavored brandy, Simple Syrup, Fresh lemon juice, Fresh orange juice"
Hush and Wonder,Rum - Daiquiris,"Creme de violette, Light Rum, Fresh Lime Juice, Simple Syrup, Grapefruit bitters"
Hyatt's Jamaican Banana,Cocktail Classics,"Light Rum, White creme de cacao, Creme de banana, Vanilla Ice Cream, half-and-half, Banana"
I.A.P.,Whiskies,"Tennessee whiskey, Fernet-Branca, Cola"
Ibiza,Vodka,"Orange-flavored vodka, Campari, Grapefruit Juice, Pomegranate molasses, Peach schnapps, Apple schnapps, grapefruit twist"
Ice Cream Flip,Rum - Daiquiris,"Whole Egg, Maraschino, Triple Sec"
Imperial Fizz,Whiskies,"Bourbon or Rye Whiskey, Light Rum, Fresh lemon juice, Simple Syrup, Soda water"
Incider Cocktail,Whiskies,"Rye or bourbon whiskey, Apple cider, Apple slice"
Irish Rickey,Whiskies,"Irish Whiskey, Fresh Lime Juice, Soda water, Lime wedge"
Irish Shillelagh,Whiskies,"Irish Whiskey, Light Rum, Sloe gin, Fresh lemon juice, Simple Syrup, Fresh raspberries and strawberries, 2 peach slices, maraschino cherry"
Irish Whiskey Cocktail,Whiskies,"Irish Whiskey, Triple Sec, Anisette, Maraschino liqueur, Angostura Bitters, Green olive"
Irish Whiskey Highball,Whiskies,"Irish Whiskey, Ginger ale or soda water, Lemon twist (optional)"
Irish Whisky,Cocktail Classics,"Mr. Boston Triple Sec, Absinthe Substitute, Maraschino, Bitters, Irish Whiskey"
Irish Whisky Cocktail,Cocktail Classics,"Old Mr. Boston Triple Sec, Absinthe Substitute, Maraschino, Bitters, Irish Whiskey"
Irresistible,Rum - Daiquiris,"Light Rum, Sweet Vermouth, Benedictine, Fresh lemon juice"
Italian Screwdriver,Vodka,"Lime wedge, superfine sugar, Citrus-flavored vodka, Orange juice, Grapefruit Juice, Ginger ale"
Jack Maples,Brandy,"Applejack, maple syrup (grade B or medium-amber), Aromatic bitters"
Jack Rose Cocktail,Brandy,"Applejack, Fresh Lime Juice, Grenadine"
Jack Sparrow Flip,Rum - Daiquiris,"Dark rum, Madeira, Simple Syrup, Egg, Angostura Bitters"
Jack-In-The-Box,Brandy,"Applejack, Pineapple Juice, Angostura Bitters"
Jack-in-the-Box Cocktail,Cocktail Classics,"Apple Brandy, Pineapple Juice, Bitters"
Jackie-O,Vodka,"Lime wedge, pink sanding sugar, each Citrus-flavored vodka and orange-flavored vodka, Creme de Cassis, Apricot nectar, each Fresh lemon juice and cranberry juice"
Jacqueline,Rum - Daiquiris,"Dark rum, Triple Sec, Fresh Lime Juice, Simple Syrup"
Jade,Rum - Daiquiris,"Light Rum, Fresh Lime Juice, Green creme de menthe, Triple Sec, Simple Syrup Scant"
Jamaica Glow Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Claret, Orange Juice, Jamaica Rum"
Jamaica Granito,Brandy,"Brandy, Triple Sec, Lemon or Orange Sherbet"
Jamaica Hop,Cocktail Classics,"Coffee-flavored brandy, Creme de Cacao (White), Light cream"
Jamaican Crawler,Rum - Daiquiris,"Light Rum, Melon liqueur, Pineapple Juice, Grenadine"
Jamaican Ginger,Rum - Daiquiris,"Light Rum, Dark rum, Falernum, Fresh Lime Juice, Angostura Bitters"
Japanese,Brandy,"Brandy, orgeat or almond syrup, Angostura Bitters"
Japanese Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Blended whiskey, Port, Egg White"
Jean Lafitte Cocktail,Cocktail Classics,"Gin, Triple Sec, Anis, Powdered Sugar, Egg Yolk"
Jersey Lightning Cocktail,Cocktail Classics,"Apple Brandy, Sweet Vermouth, Juice of a Lime"
Jeyplak Cocktail,Cocktail Classics,"Gin, Sweet Vermouth, Anisette"
Jinx Cocktail,Tequila,"Blanco tequila, Blood orange liqueur, Becherovka (Czech digestif), Fresh grapefruit juice"
Jitterbug Sour,Whiskies,"Straight rye whiskey, Benedictine, Fresh lemon juice, Honey Syrup, Egg White, Angostura Bitters"
Jocose Julep,Whiskies,"Bourbon whiskey, Green creme de menthe, Fresh Lime Juice, Simple Syrup, Fresh mint leaves"
John Collins,Whiskies,"Bourbon whiskey, Fresh lemon juice, Simple Syrup, Soda water, Orange and lemon wheels, maraschino cherry"
Jungle Juice,Vodka,"Vodka, Light Rum, Triple Sec, each Cranberry Juice, orange juice, pineapple juice, lemon juice, Simple Syrup"
K. C. B. Cocktail,Cocktail Classics,"Kummel, Mr. Boston Gin, Mr. Boston Apricot Flavored Brandy, Lemon Juice"
K. G. B. Cocktail,Cocktail Classics,"Kummel, Gin, Apricot Flavored Brandy, Lemon Juice"
K.C.B. Cocktail,Cocktail Classics,"Old Mr. Boston Kummel, Old Mr. Boston Dry Gin, Old Mr. Boston Apricot Flavored Brandy, Lemon Juice"
K.G.B. Cocktail,Cocktail Classics,"Kummel, Gin, Apricot-Flavored Brandy, Lemon Juice"
Katana,Vodka,"Cucumber slices, Vodka, Sake, Fresh Lime Juice, Simple Syrup, Cucumber"
Kiss the Boys Goodbye,Cocktail Classics,"Sloe gin, Brandy, Egg White, Juice of a Lemon"
Knickerbocker Special Cocktail,Rum - Daiquiris,"Light Rum, Triple Sec, Fresh lemon juice, Orange juice, Raspberry Syrup"
Knock-Out Cocktail,Cocktail Classics,"Anisette, Gin, Dry Vermouth, Creme de Menthe (White)"
Ko Adang,Rum - Daiquiris,"Dark rum, Coconut rum, Ginger liqueur, Mango nectar, Cream of coconut, Fresh Lime Juice, lime wheel"
Kretchma Cocktail,Vodka,"Vodka, White creme de cacao, Fresh lemon juice, Grenadine"
Kup's Indispensable Cocktail,Cocktail Classics,"Light Vermouth, Dry Vermouth, Gin, Bitters"
L.A. Sunrise,Vodka,"Vodka, Creme de banana, Fresh orange juice, Pineapple Juice, Dark rum"
L'italienne,Vodka,"Vodka, Lillet Blanc, Ramazzotti Amaro, Orange Bitters"
La Bomba,Tequila,"Gold tequila, Triple Sec, Pineapple Juice, Orange juice, Grenadine, lime wheel"
La Perla,Tequila,"Reposado tequila, Manzanilla sherry, Pear liqueur"
La Ultima Palabra,Tequila,"Blanco tequila, Fresh grapefruit juice, Fresh Lime Juice, Yellow Chartreuse, Maraschino liqueur"
La Vita Dulce,Rum - Daiquiris,"Spiced rum, Mezcal, Fresh Lime Juice, Simple Syrup"
Lady Love Fizz,Cocktail Classics,"Powdered Sugar, Juice of a Lemon, Egg White, Gin, Light cream"
Lasky Cocktail,Cocktail Classics,"Grape Juice, Swedish Punch, Gin"
Le Paradini,Vodka,"Vodka, Raspberry-flavored liqueur, Grand Marnier, Chilled Champagne"
Leap Frog Highball,Cocktail Classics,"Juice of a Lemon, Gin"
Leap Year Cocktail,Cocktail Classics,"Gin, Orange Flavored Gin, Sweet Vermouth, Lemon Juice"
Leaves Of Grass,Vodka,"Aquavit, Old Tom gin, Demerara Syrup, Orange Bitters, Absinthe"
Lemon Crush,Vodka,"Lemon wedge, superfine sugar, Citrus-flavored vodka, Crema di limoncello, Triple Sec, Fresh lemon juice"
Lemon Drop,Vodka,"Lemon wedge, superfine sugar, lemon-flavored vodka, Fresh lemon juice, Simple Syrup"
Lemonade (Egg),Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Whole Egg"
Lemonade (Golden),Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Egg Yolk, Water"
Level headed Cocktail,Rum - Daiquiris,"Aged rhum agricole, Cold brewed coffee, Allspice liqueur (pimento dram), Simple Syrup, Angostura Bitters"
Lights On The Plaza,Vodka,"Cucumber slices, chopped, Fresh lemon juice, Simple Syrup, Acai berry flavored vodka, Black raspberry liqueur, Sparkling wine, raspberry and cucumber"
Lil Naue,Cocktail Classics,"Brandy, Port, Apricot-Flavored Brandy, Powdered Sugar, Egg Yolk"
Lillypad,Tequila,"Blanco tequila, each Lillet Blanc and Lillet Rouge, Apple juice, Fresh Lime Juice, Agave nectar"
Lime Giant,Cocktail Classics,Lime Vodka
Limestone,Cocktail Classics,Bourbon
